profession,sense-name,sense-definition,primary-soc,secondary-soc
gunner,artilleryman.n.01,a serviceman in the artillery,55:Military Specific Occupations,
gymnast,gymnast.n.01,an athlete who is skilled in gymnastics,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
gynecologist,gynecologist.n.01,a specialist in gynecology,29:Healthcare Practitioners and Technical Occupations,
gypsy,itinerant.n.01,a laborer who moves from place to place as demanded by employment,Can't Say,
hacker,hacker.n.03,a programmer for whom computing is its own reward; may enjoy the challenge of breaking into other computers but does no harm,15:Computer and Mathematical Occupations,
hairdresser,hairdresser.n.01,someone who cuts or beautifies hair,39:Personal Care and Service Occupations,
harper,harpist.n.01,someone who plays the harp,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
hatter,hatmaker.n.01,someone who makes and sells hats,41:Sales and Related Occupations,51:Production Occupations
headmaster,headmaster.n.01,presiding officer of a school,11:Management Occupations,
headmistress,headmistress.n.01,a woman headmaster,11:Management Occupations,
healer,therapist.n.01,a person skilled in a particular type of therapy,39:Personal Care and Service Occupations,
high priest,archpriest.n.01,a senior clergyman and dignitary,21:Community and Social Service Occupations,
high priest,high_priest.n.01,a preeminent authority or major proponent of a movement or doctrine,21:Community and Social Service Occupations,
historian,historian.n.01,a person who is an authority on history and who studies it and writes about it,"19:Life, Physical, and Social Science Occupations",
hockey player,hockey_player.n.01,an athlete who plays hockey,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
home secretary,home_secretary.n.01,the British cabinet minister who is head of the Home Office,11:Management Occupations,
homicide detective,,,33:Protective Service Occupations,
hostess,hostess.n.01,a woman host,35:Food Preparation and Serving Related Occupations,
hostess,hostess.n.02,a woman innkeeper,11:Management Occupations,
hostess,stewardess.n.01,a woman steward on an airplane,53:Transportation and Material Moving Occupations,
housemaid,maid.n.01,a female domestic,37:Building and Grounds Cleaning and Maintenance Occupations,
hunter,hunter.n.01,someone who hunts game,"45:Farming, Fishing, and Forestry Occupations",
huntsman,hunter.n.01,someone who hunts game,"45:Farming, Fishing, and Forestry Occupations",
iceman,hatchet_man.n.01,a professional killer,Can't Say,
iceman,iceman.n.01,someone who cuts and delivers ice,51:Production Occupations,
imam,imam.n.01,(Islam) the man who leads prayers in a mosque; for Shiites an imam is a recognized authority on Islamic theology and law and a spiritual guide,21:Community and Social Service Occupations,
innkeeper,host.n.08,the owner or manager of an inn,11:Management Occupations,
inspector,examiner.n.02,an investigator who observes carefully,Can't Say,
inspector,inspector.n.01,a high ranking police officer,33:Protective Service Occupations,
english teacher,english_teacher.n.01,someone who teaches English,25:Educational Instruction and Library Occupations,
interpreter,interpreter.n.01,someone who mediates between speakers of different languages,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
interpreter,spokesperson.n.01,an advocate who represents someone else's policy or purpose,43:Office and Administrative Support Occupations,
investigator,detective.n.01,a police officer who investigates crimes,33:Protective Service Occupations,
investigator,investigator.n.02,someone who investigates,Can't Say,
investigator,research_worker.n.01,a scientist who devotes himself to doing research,"19:Life, Physical, and Social Science Occupations",
jailer,prison_guard.n.01,someone who guards prisoners,33:Protective Service Occupations,
janitor,janitor.n.01,someone employed to clean and maintain a building,37:Building and Grounds Cleaning and Maintenance Occupations,
jester,jester.n.01,a professional clown employed to entertain a king or nobleman in the Middle Ages,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
jeweller,jeweler.n.02,someone in the business of selling jewelry,41:Sales and Related Occupations,
jeweller,jewelry_maker.n.01,someone who makes jewelry,51:Production Occupations,
jockey,jockey.n.01,someone employed to ride horses in horse races,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
jockey,jockey.n.02,an operator of some vehicle or machine or apparatus,53:Transportation and Material Moving Occupations,
journalist,journalist.n.01,a writer for newspapers and magazines,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
judge,evaluator.n.01,an authority who is able to estimate worth or quality,Can't Say,
judge,judge.n.01,a public official authorized to decide questions brought before a court of justice,23:Legal Occupations,
justice,judge.n.01,a public official authorized to decide questions brought before a court of justice,23:Legal Occupations,
keeper,custodian.n.01,one having charge of buildings or grounds or animals,37:Building and Grounds Cleaning and Maintenance Occupations,
keeper,keeper.n.01,someone in charge of other people,Can't Say,
laborer,laborer.n.01,someone who works with their hands; someone engaged in manual labor,Can't Say,
labourer,laborer.n.01,someone who works with their hands; someone engaged in manual labor,Can't Say,
lama,lama.n.01,a Tibetan or Mongolian priest of Lamaism,21:Community and Social Service Occupations,
lawyer,lawyer.n.01,a professional person authorized to practice law; conducts lawsuits or gives legal advice,23:Legal Occupations,
lecturer,lector.n.02,a public lecturer at certain universities,25:Educational Instruction and Library Occupations,
lecturer,lecturer.n.02,someone who lectures professionally,25:Educational Instruction and Library Occupations,
librarian,librarian.n.01,a professional person trained in library science and engaged in library services,25:Educational Instruction and Library Occupations,
lieutenant,deputy.n.02,an assistant with power to act when his superior is absent,33:Protective Service Occupations,
lieutenant,lieutenant.n.01,a commissioned military officer,33:Protective Service Occupations,55:Military Specific Occupations
lieutenant,lieutenant.n.02,an officer in a police force,33:Protective Service Occupations,
lieutenant,lieutenant.n.04,an officer holding a commissioned rank in the United States Navy or the United States Coast Guard; below lieutenant commander and above lieutenant junior grade,33:Protective Service Occupations,55:Military Specific Occupations
lifeguard,lifeguard.n.01,an attendant employed at a beach or pool to protect swimmers from accidents,33:Protective Service Occupations,
lifesaver,lifeguard.n.01,an attendant employed at a beach or pool to protect swimmers from accidents,33:Protective Service Occupations,
lobbyist,lobbyist.n.01,someone who is employed to persuade legislators to vote for legislation that favors the lobbyist's employer,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
locksmith,locksmith.n.01,someone who makes or repairs locks,"49:Installation, Maintenance, and Repair Occupations",
lumberjack,lumberman.n.01,a person who fells trees,"45:Farming, Fishing, and Forestry Occupations",
magician,magician.n.01,someone who performs magic tricks to amuse an audience,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
magician,sorcerer.n.01,one who practices magic or sorcery,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
magistrate,magistrate.n.01,a lay judge or civil authority who administers the law (especially one who conducts a court dealing with minor offenses),23:Legal Occupations,
maid,maid.n.01,a female domestic,37:Building and Grounds Cleaning and Maintenance Occupations,
mailman,mailman.n.01,a man who delivers the mail,53:Transportation and Material Moving Occupations,
major,major.n.01,a commissioned military officer in the United States Army or Air Force or Marines; below lieutenant colonel and above captain,55:Military Specific Occupations,
manager,coach.n.01,(sports) someone in charge of training an athlete or a team,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
manager,director.n.01,someone who controls resources and expenditures,11:Management Occupations,
managing director,director.n.01,someone who controls resources and expenditures,11:Management Occupations,
mannequin,mannequin.n.01,a woman who wears clothes to display fashions,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
manufacturer,manufacturer.n.02,someone who manufactures something,51:Production Occupations,
marine,marine.n.01,a member of the United States Marine Corps,55:Military Specific Occupations,
marine,marine.n.02,a soldier who serves both on shipboard and on land,55:Military Specific Occupations,
marshall,marshal.n.01,a law officer having duties similar to those of a sheriff in carrying out the judgments of a court of law,33:Protective Service Occupations,
marshall,marshal.n.02,(in some countries) a military officer of highest rank,55:Military Specific Occupations,
mason,mason.n.04,a craftsman who works with stone or brick,47:Construction and Extraction Occupations,
masseur,masseur.n.01,a male massager,31:Healthcare Support Occupations,
masseuse,masseuse.n.01,a female massager,31:Healthcare Support Occupations,
masterchef,,,35:Food Preparation and Serving Related Occupations,
mathematician,mathematician.n.01,a person skilled in mathematics,15:Computer and Mathematical Occupations,
mayor,mayor.n.01,the head of a city government,11:Management Occupations,
md,doctor.n.01,a licensed medical practitioner,29:Healthcare Practitioners and Technical Occupations,
mechanic,automobile_mechanic.n.01,someone whose occupation is repairing and maintaining automobiles,"49:Installation, Maintenance, and Repair Occupations",
mechanic,machinist.n.01,a craftsman skilled in operating machine tools,"49:Installation, Maintenance, and Repair Occupations",47:Construction and Extraction Occupations
medic,medical_officer.n.01,a medical practitioner in the armed forces,55:Military Specific Occupations,
medical examiner,coroner.n.01,a public official who investigates by inquest any death not due to natural causes,33:Protective Service Occupations,
medical officer,,,29:Healthcare Practitioners and Technical Occupations,
merchant,merchant.n.01,a businessperson engaged in retail trade,53:Transportation and Material Moving Occupations,13:Business and Financial Operations Occupations
messenger,messenger.n.01,a person who carries a message,43:Office and Administrative Support Occupations,
midwife,midwife.n.01,a woman skilled in aiding the delivery of babies,29:Healthcare Practitioners and Technical Occupations,
milkman,milkman.n.01,someone who delivers milk,53:Transportation and Material Moving Occupations,
miller,miller.n.04,someone who works in a mill (especially a grain mill),51:Production Occupations,
miner,miner.n.01,laborer who works in a mine,47:Construction and Extraction Occupations,
minister,curate.n.01,a person authorized to conduct religious worship,21:Community and Social Service Occupations,
minister,minister.n.02,a person appointed to a high office in the government,11:Management Occupations,
minister,minister.n.03,a diplomat representing one government to another; ranks below ambassador,11:Management Occupations,
minstrel,folk_singer.n.01,a singer of folk songs,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
minstrel,minstrel.n.02,a performer in a minstrel show,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
missionary,missionary.n.01,someone who attempts to convert others to a particular doctrine or program,21:Community and Social Service Occupations,
missionary,missionary.n.02,someone sent on a mission--especially a religious or charitable mission to a foreign country,21:Community and Social Service Occupations,
mistress,mistress.n.03,a woman master who directs the work of others,Can't Say,
music teacher,music_teacher.n.01,someone who teaches music,25:Educational Instruction and Library Occupations,
monk,monk.n.01,a male religious living in a cloister and devoting himself to contemplation and prayer and work,21:Community and Social Service Occupations,
monsignor,monsignor.n.01,(Roman Catholic Church) an ecclesiastical title of honor bestowed on some priests,21:Community and Social Service Occupations,
movie star,film_star.n.01,a star who plays leading roles in the cinema,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
proctor,proctor.n.01,someone who supervises (an examination),25:Educational Instruction and Library Occupations,
musician,musician.n.01,someone who plays a musical instrument (as a profession),"27:Arts, Design, Entertainment, Sports, and Media Occupations",
musician,musician.n.02,artist who composes or conducts music as a profession,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
musketeer,musketeer.n.01,a foot soldier armed with a musket,55:Military Specific Occupations,
nanny,nanny.n.01,a woman who is the custodian of children,39:Personal Care and Service Occupations,
navigator,navigator.n.02,the member of an aircrew who is responsible for the aircraft's course,55:Military Specific Occupations,
navigator,sailing_master.n.01,the ship's officer in charge of navigation,55:Military Specific Occupations,53:Transportation and Material Moving Occupations
navy seal,navy_seal.n.01,a member of a Naval Special Warfare unit who is trained for unconventional warfare,55:Military Specific Occupations,
neurologist,neurologist.n.01,a medical specialist in the nervous system and the disorders affecting it,29:Healthcare Practitioners and Technical Occupations,
neurosurgeon,neurosurgeon.n.01,someone who does surgery on the nervous system (especially the brain),29:Healthcare Practitioners and Technical Occupations,
night watchman,night_watchman.n.01,a watchman who works during the night,33:Protective Service Occupations,
notary,notary.n.01,someone legally empowered to witness signatures and certify a document's validity and to take depositions,43:Office and Administrative Support Occupations,
novelist,novelist.n.01,one who writes novels,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
nun,nun.n.01,a woman religious,21:Community and Social Service Occupations,
nurse,nanny.n.01,a woman who is the custodian of children,39:Personal Care and Service Occupations,
nurse,nurse.n.01,one skilled in caring for young children or the sick (usually under the supervision of a physician),29:Healthcare Practitioners and Technical Occupations,
officer,military_officer.n.01,any person in the armed services who holds a position of authority or command,55:Military Specific Occupations,
officer,officeholder.n.01,someone who is appointed or elected to an office and who holds a position of trust,11:Management Occupations,43:Office and Administrative Support Occupations
officer,officer.n.04,a person authorized to serve in a position of authority on a vessel,55:Military Specific Occupations,
officer,policeman.n.01,a member of a police force,33:Protective Service Occupations,
oncologist,oncologist.n.01,a specialist in oncology,29:Healthcare Practitioners and Technical Occupations,
operative,private_detective.n.01,someone who can be employed as a detective to collect information,33:Protective Service Occupations,
operative,secret_agent.n.01,a person secretly employed in espionage for a government,33:Protective Service Occupations,
operator,operator.n.02,an agent that operates some apparatus or machine,General,
operator,operator.n.03,someone who owns or operates a business,13:Business and Financial Operations Occupations,
operator,operator.n.05,a speculator who trades aggressively on stock or commodity markets,41:Sales and Related Occupations,
padre,father.n.03,`Father' is a term of address for priests in some churches (especially the Roman Catholic Church or the Orthodox Catholic Church); `Padre' is frequently used in the military,21:Community and Social Service Occupations,
padre,military_chaplain.n.01,a chaplain in one of the military services,21:Community and Social Service Occupations,
painter,painter.n.01,an artist who paints,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
painter,painter.n.02,a worker who is employed to cover objects with paint,47:Construction and Extraction Occupations,51:Production Occupations
paralegal,paralegal.n.01,a person with specialized training who assists lawyers,23:Legal Occupations,
paramedic,paramedic.n.01,a person trained to assist medical professionals and to give emergency medical treatment,29:Healthcare Practitioners and Technical Occupations,
parole officer,,,21:Community and Social Service Occupations,
parson,curate.n.01,a person authorized to conduct religious worship,21:Community and Social Service Occupations,
pastor,curate.n.01,a person authorized to conduct religious worship,21:Community and Social Service Occupations,
pathologist,diagnostician.n.01,a doctor who specializes in medical diagnosis,29:Healthcare Practitioners and Technical Occupations,
patrol,patrol.n.03,a group that goes through a region at regular intervals for the purpose of security,33:Protective Service Occupations,
peddler,peddler.n.01,someone who travels about selling his wares (as on the streets or at carnivals),41:Sales and Related Occupations,
pediatrician,baby_doctor.n.01,a specialist in the care of babies,29:Healthcare Practitioners and Technical Occupations,
personal assistant,,,43:Office and Administrative Support Occupations,
petty officer,petty_officer.n.01,a noncommissioned officer in the Navy or Coast Guard with a rank comparable to sergeant in the Army,55:Military Specific Occupations,
pharmacist,pharmacist.n.01,a health professional trained in the art of preparing and dispensing drugs,29:Healthcare Practitioners and Technical Occupations,
photographer,photographer.n.01,someone who takes photographs professionally,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
physician,doctor.n.01,a licensed medical practitioner,29:Healthcare Practitioners and Technical Occupations,
physicist,physicist.n.01,a scientist trained in physics,"19:Life, Physical, and Social Science Occupations",
pianist,pianist.n.01,a person who plays the piano,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
piano player,pianist.n.01,a person who plays the piano,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
pilot,pilot.n.01,someone who is licensed to operate an aircraft in flight,53:Transportation and Material Moving Occupations,
pilot,pilot.n.02,a person qualified to guide ships through difficult waters going into or out of a harbor,53:Transportation and Material Moving Occupations,
piper,piper.n.01,someone who plays the bagpipe,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
pitcher,pitcher.n.01,(baseball) the person who does the pitching,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
plastic surgeon,cosmetic_surgeon.n.01,a surgeon who beautifies the body (especially the face),29:Healthcare Practitioners and Technical Occupations,
playwright,dramatist.n.01,someone who writes plays,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
plumber,plumber.n.01,a craftsman who installs and repairs pipes and fixtures and appliances,47:Construction and Extraction Occupations,
po,petty_officer.n.01,a noncommissioned officer in the Navy or Coast Guard with a rank comparable to sergeant in the Army,55:Military Specific Occupations,
poet,poet.n.01,a writer of poems (the term is usually reserved for writers of good poetry),"27:Arts, Design, Entertainment, Sports, and Media Occupations",
police,police.n.01,the force of policemen and officers,33:Protective Service Occupations,
police chief,captain.n.03,a policeman in charge of a precinct,33:Protective Service Occupations,
police commissioner,police_commissioner.n.01,a civil commissioner appointed to supervise the duties and discipline of the police,33:Protective Service Occupations,
police force,police.n.01,the force of policemen and officers,33:Protective Service Occupations,
police officer,policeman.n.01,a member of a police force,33:Protective Service Occupations,
policeman,policeman.n.01,a member of a police force,33:Protective Service Occupations,
policewoman,police_matron.n.01,a woman policeman,33:Protective Service Occupations,
porn star,,,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
porter,doorkeeper.n.03,someone who guards an entrance,33:Protective Service Occupations,
porter,porter.n.01,a person employed to carry luggage and supplies,39:Personal Care and Service Occupations,
porter,porter.n.06,a railroad employee who assists passengers (especially on sleeping cars),39:Personal Care and Service Occupations,
posse,posse.n.01,a temporary police force,33:Protective Service Occupations,
postman,mailman.n.01,a man who delivers the mail,53:Transportation and Material Moving Occupations,
potter,potter.n.01,a craftsman who shapes pottery on a potter's wheel and bakes them it a kiln,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
preacher,preacher.n.01,someone whose occupation is preaching the gospel,21:Community and Social Service Occupations,
prefect,prefect.n.01,a chief officer or chief magistrate,43:Office and Administrative Support Occupations,23:Legal Occupations
president,president_of_the_united_states.n.01,the person who holds the office of head of state of the United States government,11:Management Occupations,
president,president.n.01,an executive officer of a firm or corporation,11:Management Occupations,
president,president.n.03,the chief executive of a republic,11:Management Occupations,
president,president.n.04,the officer who presides at the meetings of an organization,11:Management Occupations,
president,president.n.05,the head administrative officer of a college or university,11:Management Occupations,
president of the united states,president_of_the_united_states.n.01,the person who holds the office of head of state of the United States government,11:Management Occupations,
priest,priest.n.01,a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders,21:Community and Social Service Occupations,
priest,priest.n.02,a person who performs religious duties and ceremonies in a non-Christian religion,21:Community and Social Service Occupations,
priestess,priestess.n.01,a woman priest,21:Community and Social Service Occupations,
principal,principal.n.02,the educator who has executive authority for a school,11:Management Occupations,
principal,star.n.04,an actor who plays a principal role,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
prior,prior.n.01,the head of a religious order; in an abbey the prior is next below the abbot,21:Community and Social Service Occupations,
prison guard,prison_guard.n.01,someone who guards prisoners,33:Protective Service Occupations,
private detective,private_detective.n.01,someone who can be employed as a detective to collect information,33:Protective Service Occupations,
private eye,private_detective.n.01,someone who can be employed as a detective to collect information,33:Protective Service Occupations,
private investigator,private_detective.n.01,someone who can be employed as a detective to collect information,33:Protective Service Occupations,
probation officer,probation_officer.n.01,the officer of the court who supervises probationers,21:Community and Social Service Occupations,
professor,professor.n.01,someone who is a member of the faculty at a college or university,25:Educational Instruction and Library Occupations,
producer,manufacturer.n.02,someone who manufactures something,51:Production Occupations,
producer,producer.n.02,someone who finds financing for and supervises the making and presentation of a show (play or film or program or similar work),"27:Arts, Design, Entertainment, Sports, and Media Occupations",
production designer,,,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
mistress,schoolmarm.n.01,a woman schoolteacher (especially one regarded as strict),25:Educational Instruction and Library Occupations,
programmer,programmer.n.01,a person who designs and writes and tests computer programs,15:Computer and Mathematical Occupations,
prosecutor,prosecutor.n.01,a government official who conducts criminal prosecutions on behalf of the state,23:Legal Occupations,
psychiatrist,psychiatrist.n.01,a physician who specializes in psychiatry,29:Healthcare Practitioners and Technical Occupations,
psychologist,psychologist.n.01,a scientist trained in psychology,"19:Life, Physical, and Social Science Occupations",
public defender,public_defender.n.01,a lawyer who represents indigent defendants at public expense,23:Legal Occupations,
public prosecutor,prosecutor.n.01,a government official who conducts criminal prosecutions on behalf of the state,23:Legal Occupations,
publicist,publicist.n.01,someone who publicizes,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
publisher,publisher.n.02,a person engaged in publishing periodicals or books or music,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
publisher,publisher.n.03,the proprietor of a newspaper,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
puppeteer,puppeteer.n.01,one who operates puppets or marionettes,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
rabbi,rabbi.n.01,spiritual leader of a Jewish congregation; qualified to expound and apply Jewish law,21:Community and Social Service Occupations,
raiser,agriculturist.n.01,someone concerned with the science or art or business of cultivating the soil,"19:Life, Physical, and Social Science Occupations",
raiser,raiser.n.01,a bridge partner who increases the partner's bid,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
ranger,commando.n.01,a member of a military unit trained as shock troops for hit-and-run raids,33:Protective Service Occupations,
ranger,fire_warden.n.01,an official who is responsible for managing and protecting an area of forest,33:Protective Service Occupations,
ranger,texas_ranger.n.01,a member of the Texas state highway patrol; formerly a mounted lawman who maintained order on the frontier,33:Protective Service Occupations,
rapper,rapper.n.01,someone who performs rap music,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
real estate agent,real_estate_broker.n.01,a person who is authorized to act as an agent for the sale of land,41:Sales and Related Occupations,
realtor,realtor.n.01,a real estate agent who is a member of the National Association of Realtors,41:Sales and Related Occupations,
receptionist,receptionist.n.01,a secretary whose main duty is to answer the telephone and receive visitors,43:Office and Administrative Support Occupations,
recruiter,recruiter.n.01,someone who supplies members or employees,13:Business and Financial Operations Occupations,
recruiter,recruiter.n.02,an official who enlists personnel for military service,55:Military Specific Occupations,
rector,curate.n.01,a person authorized to conduct religious worship,21:Community and Social Service Occupations,
referee,referee.n.01,(sports) the chief official (as in boxing or American football) who is expected to ensure fair play,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
referee,referee.n.03,an attorney appointed by a court to investigate and report on a case,23:Legal Occupations,
referee,reviewer.n.01,someone who reads manuscripts and judges their suitability for publication,23:Legal Occupations,
registrar,registrar.n.01,a person employed to keep a record of the owners of stocks and bonds issued by the company,43:Office and Administrative Support Occupations,
registrar,registrar.n.02,the administrator responsible for student records,43:Office and Administrative Support Occupations,11:Management Occupations
registrar,registrar.n.03,someone responsible for keeping records,43:Office and Administrative Support Occupations,
repairman,repairman.n.01,a skilled worker whose job is to repair things,"49:Installation, Maintenance, and Repair Occupations",
reporter,reporter.n.01,a person who investigates and reports or edits news stories,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
representative,congressman.n.01,a member of the United States House of Representatives,11:Management Occupations,
representative,spokesperson.n.01,an advocate who represents someone else's policy or purpose,43:Office and Administrative Support Occupations,
researcher,research_worker.n.01,a scientist who devotes himself to doing research,"19:Life, Physical, and Social Science Occupations",
retailer,retailer.n.01,a merchant who sells goods at retail,41:Sales and Related Occupations,
reverend,clergyman.n.01,a member of the clergy and a spiritual leader of the Christian Church,21:Community and Social Service Occupations,
rock star,rock_star.n.01,a famous singer of rock music,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
rocker,rocker.n.01,an attendant who rocks a child in a cradle,39:Personal Care and Service Occupations,
rocker,rocker.n.02,a performer or composer or fan of rock music,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
runner,ball_carrier.n.01,(football) the player who is carrying (and trying to advance) the ball on an offensive play,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
runner,base_runner.n.01,a baseball player on the team at bat who is on base (or attempting to reach a base),"27:Arts, Design, Entertainment, Sports, and Media Occupations",
runner,runner.n.03,a person who is employed to deliver messages or documents,53:Transportation and Material Moving Occupations,
runner,runner.n.06,a trained athlete who competes in foot races,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
sailor,bluejacket.n.01,a serviceman in the navy,53:Transportation and Material Moving Occupations,
sailor,sailor.n.01,any member of a ship's crew,53:Transportation and Material Moving Occupations,
salesman,salesman.n.01,a man salesperson,41:Sales and Related Occupations,
school teacher,schoolteacher.n.01,a teacher in a school below the college level,25:Educational Instruction and Library Occupations,
scientist,scientist.n.01,a person with advanced knowledge of one or more sciences,"19:Life, Physical, and Social Science Occupations",
scout,lookout.n.01,a person employed to keep watch for some anticipated event,Can't Say,
scout,scout.n.02,a Boy Scout or Girl Scout,Can't Say,
scout,scout.n.03,someone employed to discover and recruit talented persons (especially in the worlds of entertainment or sports),"27:Arts, Design, Entertainment, Sports, and Media Occupations",
scout,scout.n.04,someone who can find paths through unexplored territory,Can't Say,
scribe,copyist.n.01,someone employed to make written copies of documents and manuscripts,43:Office and Administrative Support Occupations,
scribe,scribe.n.02,informal terms for journalists,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
sculptor,sculptor.n.01,an artist who creates sculptures,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
seal,navy_seal.n.01,a member of a Naval Special Warfare unit who is trained for unconventional warfare,55:Military Specific Occupations,
seaman,mariner.n.01,a man who serves as a sailor,53:Transportation and Material Moving Occupations,
seamstress,dressmaker.n.01,someone who makes or mends dresses,51:Production Occupations,
secret agent,secret_agent.n.01,a person secretly employed in espionage for a government,Can't Say,
secret police,secret_police.n.01,a police force that operates in secrecy (usually against persons suspected of treason or sedition),33:Protective Service Occupations,
secretary,secretary.n.01,a person who is head of an administrative department of government,11:Management Occupations,
secretary,secretary.n.02,an assistant who handles correspondence and clerical work for a boss or an organization,43:Office and Administrative Support Occupations,
secretary of state,foreign_minister.n.01,a government minister for foreign relations,11:Management Occupations,
secretary of state,secretary_of_state.n.01,the person who holds the secretaryship of the Department of State,11:Management Occupations,
security guard,watchman.n.01,a guard who keeps watch,33:Protective Service Occupations,
security officer,,,33:Protective Service Occupations,
senator,senator.n.01,a member of a senate,11:Management Occupations,
sergeant,police_sergeant.n.01,a lawman with the rank of sergeant,33:Protective Service Occupations,
sergeant,sergeant.n.01,any of several noncommissioned officer ranks in the Army or Air Force or Marines ranking above a corporal,55:Military Specific Occupations,
sergeant,serjeant-at-law.n.01,an English barrister of the highest rank,23:Legal Occupations,
sergeant major,sergeant_major.n.01,a noncommissioned officer serving as chief administrative officer of a headquarters unit of the Army,11:Management Occupations,
shaman,shaman.n.01,in societies practicing shamanism: one acting as a medium between the visible and spirit worlds; practices sorcery for healing or divination,21:Community and Social Service Occupations,
shepherd,sheepherder.n.01,a herder of sheep (on an open range); someone who keeps the sheep together in a flock,"45:Farming, Fishing, and Forestry Occupations",
shepherd,shepherd.n.01,a clergyman who watches over a group of people,21:Community and Social Service Occupations,
sheriff,sheriff.n.01,the principal law-enforcement officer in a county,33:Protective Service Occupations,
sherlock,private_detective.n.01,someone who can be employed as a detective to collect information,33:Protective Service Occupations,
shoemaker,cobbler.n.01,a person who makes or repairs shoes,51:Production Occupations,
shopkeeper,shopkeeper.n.01,a merchant who owns or manages a shop,41:Sales and Related Occupations,
showgirl,chorus_girl.n.01,a woman who dances in a chorus line,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
singer,singer.n.01,a person who sings,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
sitter,artist's_model.n.01,a person who poses for a painter or sculptor,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
sitter,babysitter.n.01,a person engaged to care for children when the parents are not home,39:Personal Care and Service Occupations,
skater,skater.n.01,someone who skates,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
skier,skier.n.01,someone who skis,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
skipper,captain.n.02,the naval officer in command of a military ship,55:Military Specific Occupations,
skipper,master.n.07,an officer who is licensed to command a merchant ship,53:Transportation and Material Moving Occupations,
sniper,sniper.n.01,a marksman who shoots at people from a concealed place,55:Military Specific Occupations,
soccer player,soccer_player.n.01,an athlete who plays soccer,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
social worker,social_worker.n.01,someone employed to provide social services (especially to the disadvantaged),21:Community and Social Service Occupations,
soldier,soldier.n.01,an enlisted man or woman who serves in an army,55:Military Specific Occupations,
solicitor,solicitor.n.01,a petitioner who solicits contributions or trade or votes,41:Sales and Related Occupations,
solicitor,solicitor.n.02,a British lawyer who gives legal advice and prepares legal documents,23:Legal Occupations,
songwriter,songwriter.n.01,a composer of words or music for popular songs,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
soprano,soprano.n.01,a female singer,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
spokesman,spokesman.n.01,a male spokesperson,43:Office and Administrative Support Occupations,
spokesperson,spokesperson.n.01,an advocate who represents someone else's policy or purpose,43:Office and Administrative Support Occupations,
spotter,lookout.n.01,a person employed to keep watch for some anticipated event,55:Military Specific Occupations,
spotter,spotter.n.01,a worker employed at a dry-cleaning establishment to remove spots,51:Production Occupations,
spotter,spotter.n.02,a worker employed to apply spots (as markers or identifiers),Can't Say,
